#ID = 
#Grid Position = Position of spot on microarray
#Name = Gene Name
#Clone_description = Description of source of cDNA for microarray
#Gene Names = alternative  gene names
#GB_ACC = GenBank Accesssion number
#Symbol = Gene Symbol
#Mouse Unigene = Unigene number
#LocusLink ID = Locus link ID number
#SPOT_ID = 
*ID**	Grid Position**	Name**	Clone_description**	Gene Names**	GB_ACC**	Symbol**	Mouse Unigene**	LocusLink ID**	SPOT_ID*
10002	GRID-  71-R4C1	4 days neonate male adipose cDNA, RIKEN full-length enriched library, clone:B430001P14 product:unknown EST, full insert sequence		ESTs	BG074969 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074969>		103117	-	
10003	GRID-  71-R4C3	hyaluronidase 2	Mus musculus hyaluronidase 2 (Hyal2),  mRNA	hyaluronidase 2	BG075294 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075294>	Hyal2	4834	-	
10004	GRID-  71-R4C4	0 day neonate thymus cDNA, RIKEN full-length enriched library, clone:A430105M12 product:unknown EST, full insert sequence		ESTs	BG075632 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075632>		122993	-	
10005	GRID-  71-R4C5	RIKEN cDNA 1700023M09 gene	Homo sapiens uncharacterized  hematopoietic stem/progenitor cells protein MDS033  (MDS033), mRNA	RIKEN cDNA 1700023M09 gene	BG088476 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088476>	1700023M09Rik	41511	-	
10006	GRID-  71-R5C1			no value	AW558484 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW558484>		no value	-	
10007	GRID-  71-R5C2	Transcribed sequences		UNKNOWN	BQ550304 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550304>		102636	-	
10008	GRID-  71-R5C3	chimerin (chimaerin) 1			BQ550980 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550980>	Chn1		76724	
10009	GRID-  71-R5C4				 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=>		45418	-	NA7
10010	GRID-  71-R5C5	Transcribed sequence with weak similarity to protein ref:NP_081764.1 (M.musculus) RIKEN cDNA 5730493B19 [Mus musculus]		UNKNOWN	BQ552268 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552268>		120079	-	
10011	GRID-  72-R1C1			SRY-box containing gene 4	BG070656 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070656>		18789	20677	
10012	GRID-  72-R1C2	RIKEN cDNA 2810417D08 gene	Homo sapiens mRNA for KIAA1287  protein, partial cds	no value	BG071008 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071008>	2810417D08Rik	44032	70422	
10013	GRID-  72-R1C3	Transcribed sequences		ESTs, Weakly similar to S71512 hypothetical protein T2 - mouse [M.musculus]	BG071343 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071343>		173877	-	
10014	GRID-  72-R1C4	RIKEN cDNA 2510009N07 gene	Homo sapiens mRNA; cDNA  DKFZp434C151 (from clone DKFZp434C151); complete cds	RIKEN cDNA 2510009N07 gene	BG084505 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG084505>	2510009N07Rik	29087	66615	
10015	GRID-  72-R1C5	DNA segment, human DXS9928E	Mus musculus mRNA for XAP-5 protein	DNA segment, human DXS9928E	AU045922 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AU045922>	D0HXS9928E	4370	108160	
10016	GRID-  72-R2C1	WD repeat and FYVE domain containing 1		no value	BG072366 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072366>	Wdfy1	103467	69368	
10017	GRID-  72-R2C2	prion protein	Mus musculus short incubation prion  protein Prnpa gene, complete cds	prion protein	BG072683 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072683>	Prnp	648	19122	
10018	GRID-  72-R2C3	triple functional domain (PTPRF interacting)	Homo sapiens triple functional domain  (PTPRF interacting) (TRIO), mRNA	expressed sequence AA408740	BG073021 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073021>	Trio	28367	105729	
10019	GRID-  72-R2C5		Mus musculus phospholipase A2, group IB,  pancreas, receptor (Pla2g1br), mRNA	ESTs, Highly similar to S48719 phospholipase-A(2) receptor protein - mouse [M.musculus]	BG086094 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086094>		162103	-	
10020	GRID-  72-R3C1	emerin	Mus musculus emerin (Emd), mRNA	no value	AW550900 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW550900>	Emd	199817	13726	
10021	GRID-  72-R3C2	blood vessel epicardial substance		ESTs	BG074001 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074001>	Bves	32755	-	
10022	GRID-  72-R3C4	cyclin D2	Homo sapiens cyclin D2 (CCND2), mRNA	podocalyxin-like	BG074325 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074325>	Ccnd2	89918	27205	
10023	GRID-  72-R3C5	RIKEN cDNA 1110051N18 gene	Homo sapiens cDNA: FLJ21674 fis,  clone COL09070	Mus musculus, Similar to KIAA0136 protein, clone IMAGE:4511162, mRNA, partial cds	BG074655 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074655>	1110051N18Rik	24294	-	
10024	GRID-  72-R4C1	four and a half LIM domains 1	Mus musculus four and a half LIM domains  1 (Fhl1), mRNA	four and a half LIM domains 1	BG087676 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG087676>	Fhl1	3126	14199	
10025	GRID-  72-R4C3	RIKEN cDNA 2410002F23 gene		RIKEN cDNA 2410002F23 gene	BG075304 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075304>	2410002F23Rik	2660	-	
10026	GRID-  72-R4C4	RIKEN cDNA C530043K16 gene		ESTs, Weakly similar to TYROSINE-PROTEIN KINASE JAK3 [M.musculus]	BG075642 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075642>	C530043K16Rik	138161	-	
10027	GRID-  72-R4C5	Transcribed sequences		no value	AW557700 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW557700>		no value	-	
10028	GRID-  72-R5C1	cDNA sequence BC057627		ESTs	BG076273 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076273>	BC057627	164114	-	
10029	GRID-  72-R5C2	Transcribed sequence with moderate similarity to protein pir:I58401 (M.musculus) I58401 protein-tyrosine kinase			BQ550326 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550326>			-	
10030	GRID-  72-R5C3	chaperonin subunit 6a (zeta)			BQ550999 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550999>	Cct6a	153159	12466	
10031	GRID-  72-R5C4	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)		UNKNOWN: Similar to Homo sapiens, Similar to methylcrotonoyl-Coenzyme A carboxylase 2  (beta), clone MGC:10207 IMAGE:3910739, mRNA, complete cds	BQ551657 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551657>	Mccc2	137327	78038	
10032	GRID-  72-R5C5	annexin A6		UNKNOWN	BQ552281 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552281>	Anxa6	22619	11749	
10033	GRID-  73-R1C1	RIKEN cDNA 9930012K11 gene		expressed sequence AU016692	BG070657 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070657>	9930012K11Rik	12148	-	
10034	GRID-  73-R1C2	RIKEN cDNA G630055P03 gene	Homo sapiens cDNA FLJ13111 fis,  clone NT2RP3002566	Mus musculus, clone IMAGE:4456744, mRNA, partial cds	BG083923 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG083923>	G630055P03Rik	28323	-	
10035	GRID-  73-R1C3	transcription factor-like 4	Mus musculus transcription factor  like protein 4 TCFL4 mRNA, partial cds	transcription factor-like 4	BG071344 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071344>	Tcfl4	628	21428	
10036	GRID-  73-R1C4			no value	BG071661 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071661>		no value	-	
10037	GRID-  73-R1C5	zinc finger protein 67		deltex 3 homolog (Drosophila)	BG072012 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072012>	Zfp67	29197	80904	
10038	GRID-  73-R2C1	bromodomain containing 3	Mus musculus bromodomain-containing  FSH-like protein FSRG2 (Fsrg2) mRNA, complete cds	bromodomain-containing 3	BG072367 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072367>	Brd3	28721	67382	
10039	GRID-  73-R2C2	DNA segment, Chr 12, ERATO Doi 551, expressed	Homo sapiens mRNA for KIAA1228  protein, partial cds	RIKEN cDNA 4921504I16 gene	BG072684 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072684>	D12Ertd551e	27500	52635	
10040	GRID-  73-R2C3			no value	BG073022 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073022>		no value	-	
10041	GRID-  73-R2C5	Transcribed sequences		ESTs	BG073361 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073361>		182649	-	
10042	GRID-  73-R3C1			no value	BG073761 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073761>		no value	-	
10043	GRID-  73-R3C2		Mus musculus SH3-domain GRB2-like B1  (endophilin) (Sh3glb1), mRNA	SH3-domain GRB2-like B1 (endophilin)	AW552084 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW552084>		182692	54673	
10044	GRID-  73-R3C4	oxidation resistance 1	Homo sapiens hypothetical protein  FLJ10125 (FLJ10125), mRNA	nucleolar protein C7	BG087025 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG087025>	Oxr1	70667	170719	
10045	GRID-  73-R3C5	Transcribed sequences		ESTs	BG074656 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074656>		103075	-	
10046	GRID-  73-R4C1	expressed sequence AW554918		no value	AW554918 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW554918>	AW554918	34078	107054	
10047	GRID-  73-R4C3	RIKEN cDNA E230015L20 gene		no value	BG075305 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075305>	E230015L20Rik	86618	-	
10048	GRID-  73-R4C4	Transcribed sequence with moderate similarity to protein pir:S12207 (M.musculus) S12207 hypothetical protein	Mus musculus Pafaha/Lis1 exon 3,  complete sequence	ESTs	BG088186 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088186>		102814	-	
10049	GRID-  73-R4C5	Fc receptor, IgG, alpha chain transporter	Mouse fcrn gene for Fc receptor,  exon1-4	Fc receptor, IgG, alpha chain transporter	BG088498 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088498>	Fcgrt	3303	-	
10050	GRID-  73-R5C1	TEA domain family member 1	Mus musculus TEA domain family member 1  (Tead1), mRNA	TEA domain family member 1	AW558635 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW558635>	Tead1	28081	-	
10051	GRID-  73-R5C2	snail homolog 1 (Drosophila)		Mus musculus snail homolog 1, (Drosophila) (Snai1), mRNA	BQ550327 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550327>	Snai1	2093	20613	
10052	GRID-  73-R5C3			UNKNOWN: Similar to Rabbit deadenylyl-beta-globin mRNA, 3' end	BQ551000 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551000>			-	
10053	GRID-  73-R5C4	expressed sequence AI854408			BQ551659 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551659>	AI854408		-	
10054	GRID-  73-R5C5	RIKEN cDNA 3110005P07 gene			BQ552282 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552282>	3110005P07Rik	217893	65098	
10055	GRID-  74-R1C1	Transcribed sequences		ESTs	BG070669 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070669>		26000	-	
10056	GRID-  74-R1C2	mannoside acetylglucosaminyltransferase 2	Homo sapiens mannosyl  (alpha-1,6-)-glycoprotein  beta-1,2-N-acetylglucosaminyltransferase (MGAT2), mRNA	no value	BG084016 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG084016>	Mgat2	24293	217664	
10057	GRID-  74-R1C3	Transcribed sequences		expressed sequence AU040954	BG071356 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071356>		17575	104521	
10058	GRID-  74-R1C4	Transcribed sequences	Homo sapiens cDNA FLJ13598 fis,  clone PLACE1009921	ESTs	BG071670 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071670>		19184	-	
10059	GRID-  74-R1C5	Similar to RIKEN cDNA 5730469M10 (LOC269409), mRNA		ESTs	BG072024 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072024>		174059	-	
10060	GRID-  74-R2C1	leucine-rich and death domain containing	Mus musculus PIDD mRNA, complete  cds	leucine-rich and death domain containing	BG085209 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG085209>	Lrdd	158086	57913	
10061	GRID-  74-R2C2	tumor protein, translationally-controlled 1	Mus musculus translationally regulated  transcript (21 kDa) (Trt), mRNA	tumor protein, translationally-controlled 1	BG072696 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072696>	Tpt1	254	22070	
10062	GRID-  74-R2C3	Transcribed sequences		ESTs	BG073031 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073031>		182626	-	
10063	GRID-  74-R2C5	ES cells cDNA, RIKEN full-length enriched library, clone:2410046H18 product:unknown EST, full insert sequence		ESTs, Weakly similar to TYROSINE-PROTEIN KINASE JAK3 [M.musculus]	BG073372 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073372>		174388	-	
10064	GRID-  74-R3C1	eukaryotic translation initiation factor 4 gamma, 3	Homo sapiens eukaryotic translation  initiation factor 4 gamma, 3 (EIF4G3), mRNA	no value	BG086416 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG086416>	Eif4g3	30036	-	
10065	GRID-  74-R3C2	Transcribed sequences		ESTs	BG074013 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074013>		105025	-	
10066	GRID-  74-R3C4	heat shock protein 8	Mus musculus heat shock 70 protein  (Hsc70) gene, complete cds	heat shock 70kD protein 8	BG087043 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG087043>	Hspa8	197551	15481	
10067	GRID-  74-R3C5	transcription factor E2a	Mouse mRNA for putative  transcription factor of the insulin gene (partial)	transcription factor E2a	BG087289 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG087289>	Tcfe2a	3406	21423	
10068	GRID-  74-R4C1	N-terminal Asn amidase	Mus musculus N-terminal asparagine  amidohydrolase (Ntan1) gene, complete cds	expressed sequence AA415817	AW554943 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW554943>	Ntan1	22635	94184	
10069	GRID-  74-R4C3	nuclear RNA export factor 2	Mus musculus nuclear RNA export factor 1  homolog (S. cerevisiae) (Nxf1), mRNA	nuclear RNA export factor 2	BG075317 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075317>	Nxf2	103155	-	
10070	GRID-  74-R4C4	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only	Homo sapiens protein phosphatase 1,  regulatory subunit 10 (PPP1R10), mRNA	Mus musculus, Similar to putative protein phosphatase 1 nuclear targeting subunit, clone IMAGE:3157989, mRNA, partial cds	AW556719 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW556719>		29385	-	
10071	GRID-  74-R4C5	poly(rC) binding protein 4	Mus musculus poly(rC)-binding protein 4  (Pcbp4), mRNA	poly(rC) binding protein 4	BG088487 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088487>	Pcbp4	29707	-	
10072	GRID-  74-R5C1	arrestin domain containing 4	Mus musculus sterol O-acyltransferase 1  (Soat1), mRNA	sterol O-acyltransferase 1	BG088808 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088808>	Arrdc4	28099	-	
10073	GRID-  74-R5C2	Transcribed sequences		UNKNOWN	BQ550349 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550349>			-	
10074	GRID-  74-R5C3	cDNA sequence BC046418			BQ551019 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551019>	BC046418	25332	-	
10075	GRID-  74-R5C4	debranching enzyme homolog 1 (S. cerevisiae)		Mus musculus debranching enzyme (S. Cerevisae) homolog 1 (Dbr1), mRNA	BQ551677 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551677>	Dbr1	31324	83703	
10076	GRID-  74-R5C5	neogenin		UNKNOWN	BQ552298 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552298>	Neo1	131419	-	
10077	GRID-  75-R1C1	myotubularin related protein 2	Homo sapiens KIAA1073 protein (KIAA1073),  mRNA	Mus musculus myotubularin-related protein 2 (Mtmr2) mRNA, complete cds	BG083487 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG083487>	Mtmr2	24298	77116	
10078	GRID-  75-R1C2	catenin src		ESTs	BG071010 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071010>	Catns	173348	-	
10079	GRID-  75-R1C3	2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:E430020E24 product:unknown EST, full insert sequence	Homo sapiens mRNA for KIAA1157  protein, partial cds	ESTs	BG071345 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071345>		70065	-	
10080	GRID-  75-R1C4	Transcribed sequences		ESTs	BG071662 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071662>		17776	-	
10081	GRID-  75-R1C5	RIKEN cDNA 2410003K15 gene	Homo sapiens IGF-II mRNA-binding  protein 3 (IMP-3) mRNA, complete cds	expressed sequence AU045931	BG084930 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG084930>	2410003K15Rik	200963	101279	
10082	GRID-  75-R2C1	zinc finger protein 96	Mus musculus zinc finger protein 96  (Zfp96) mRNA, complete cds	zinc finger protein 96	BG085201 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG085201>	Zfp96	24124	22758	
10083	GRID-  75-R2C2	meiosis-specific nuclear structural protein 1	Mus musculus meiosis-specific nuclear  structural protein 1 (Mns1), mRNA	meiosis-specific nuclear structural protein 1	BG072685 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072685>	Mns1	218	17427	
10084	GRID-  75-R2C3			ESTs	BG073023 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073023>		27981	-	
10085	GRID-  75-R2C5	RIKEN cDNA 3100004P22 gene		RIKEN cDNA 3100004P22 gene	BG073362 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073362>	3100004P22Rik	21819	68035	
10086	GRID-  75-R3C1		Mus musculus ribosomal protein L29  (Rpl29), mRNA	ribosomal protein L29	BG073762 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG073762>		2235	19944	
10087	GRID-  75-R3C2	serine palmitoyltransferase, long chain base subunit 1	Mus musculus serine palmitoyltransferase,  long chain base subunit 1 (Sptlc1), mRNA	serine palmitoyltransferase, long chain base subunit 1	BG074002 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG074002>	Sptlc1	6505	20772	
10088	GRID-  75-R3C4	RIKEN cDNA 1300002A08 gene		RIKEN cDNA 1300002A08 gene	AW552972 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW552972>	1300002A08Rik	30092	66887	
10089	GRID-  75-R3C5	lipocalin 7	Rattus norvegicus gis5 mRNA for  glucocorticoid-inducible protein, complete cds	lipocalin 7	AW553913 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW553913>	Lcn7	15801	94242	
10090	GRID-  75-R4C1	expressed sequence AA408556	Homo sapiens cDNA FLJ12434 fis,  clone NT2RM1000037, highly similar to Homo sapiens mRNA  for KIAA0690 protein	expressed sequence AA408556	BG087677 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG087677>	AA408556	203883	-	
10091	GRID-  75-R4C3	prohibitin	Mus musculus prohibitin (Phb), mRNA	prohibitin	BG075306 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075306>	Phb	2355	-	
10092	GRID-  75-R4C4	MAD homolog 3 (Drosophila)	Homo sapiens DKFZP586N0721 protein  (DKFZP586N0721), mRNA	expressed sequence AU022421	BG075644 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG075644>	Madh3	28611	-	
10093	GRID-  75-R4C5	endonuclease G-like 1	Homo sapiens endonuclease G-like 1  (ENDOGL1), mRNA	no value	BG088499 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG088499>	Endogl1	no value	-	
10094	GRID-  75-R5C1	RIKEN cDNA 9130227C08 gene	Homo sapiens HCDI protein (HCDI), mRNA	RIKEN cDNA 2310014G06 gene	AW558639 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW558639>	9130227C08Rik	37592	-	
10095	GRID-  75-R5C2	RIKEN cDNA 2610030H06 gene			BQ550329 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ550329>	2610030H06Rik	83743	67048	
10096	GRID-  75-R5C3	RIKEN cDNA 2310016C08 gene		Mus musculus, Similar to RIKEN cDNA 2310016C08 gene, clone  MGC:28354 IMAGE:4018622, mRNA, complete cds	BQ551002 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551002>	2310016C08Rik	45161	69573	
10097	GRID-  75-R5C4	Transcribed sequences		UNKNOWN	BQ551660 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ551660>			-	
10098	GRID-  75-R5C5	Transcribed sequences		UNKNOWN: Similar to Homo sapiens mRNA; cDNA DKFZp434O0921 (from clone DKFZp434O0921)	BQ552283 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BQ552283>			-	
10099	GRID-  76-R1C1	ephrin A5	Homo sapiens cDNA: FLJ22256  fis, clone HRC02860	ESTs	BG070670 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070670>	Efna5	40623	-	
10100	GRID-  76-R1C2	RIKEN cDNA 2610024G14 gene	Mus musculus hypothetical brain protein  similar to X96994 BR-1 protein (Helix pomatia)  (LOC56412), mRNA	RIKEN cDNA 2610024G14 gene	BG071022 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071022>	2610024G14Rik	93882	56412	
10101	GRID-  76-R1C3	Transcribed sequence with weak similarity to protein ref:NP_081764.1 (M.musculus) RIKEN cDNA 5730493B19 [Mus musculus]		ESTs, Weakly similar to JAK3 MOUSE TYROSINE-PROTEIN KINASE JAK3 [M.musculus]	BG071357 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071357>		173879	-	
10102	GRID-  76-R1C4	RIKEN cDNA A930014J19 gene	Rattus norvegicus mytonic dystrophy  kinase-related Cdc42-binding kinase (MRCK) mRNA, complete  cds	ESTs, Highly similar to T14039 protein kinase [R.norvegicus]	BG071671 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG071671>	A930014J19Rik	38330	-	
10103	GRID-  76-R1C5	ES cells cDNA, RIKEN full-length enriched library, clone:2410038P04 product:suppressor of variegation 3-9 homolog 1 (Drosophila), full insert sequence	Mus musculus Su(var)3-9 homolog  Suv39h1 (Suv39h1) gene, partial cds	suppressor of variegation 3-9 homolog 1 (Drosophila)	BG084777 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG084777>		9244	20937	
10104	GRID-  76-R2C1			ESTs	BG072377 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG072377>		172195	-	
